,Text,Completion,Correction,GLEU_lang8,GLEU_clova
10,오우 ~ 난 지금 기분이 너무 기쁘다 . 당첨때문에,오우 ~ 난 지금 당첨되서 너무 기뻐요 .,당첨되서 기뻐요,0.4,0.0
11,당신이하면 안돼 날 전화를 들었어요 .,내가부르는게 들리지 않나요,전화벨이 울리면 당신은 나에게 전화를 하면 안돼요 .,0.0,0.07692307692307693
12,사랑과 도 흡사하고 보건대 혹시 위의 이런 관계에 맞는가 ?,사랑과 도 흡사한 걸 보면 혹시 위의 이런 관계에 일치하는 것이 아닌가 ?,"사랑과도 비슷한 것 같고 ,",0.30434782608695654,0.0
13,저는 이 사람이 진짜로 일본을 위해서 아니고 이 사람이 그냥 농담으로 하는거 같아서 좀 싫었어요,저는 이 사람이 진짜 일본을 위해서가 아니라 그냥 농담으로 말하는거 같아서 좀 싫었어요 .,저는 이 사람이 정말 일본을 위해서가 아니라 단지 농담으로 말하는 것 같아 별로 좋지 않았어요 .,0.2962962962962963,0.13793103448275862
14,근데 공부하는 것 시작한 전에 내가 좋아하는 얼마전에 알려는 이 노래를 여러분한데 알려주고 싶었어요 .,근데 공부 시작하기 전에 내가 좋아하는 이 노래를 여러분한테 알려주고 싶었어요 .,근데 공부하기 전에 제가 좋아하는 음악을 여러분에게 소개해 주고 싶었어요 .,0.2962962962962963,0.1111111111111111
15,근데 사실은 내가 강하지 않고 독립하는 거도 아닌거 같다 .,근데 사실은 내가 그렇게 강하지 않고 그렇게 독립적인 아이도 아닌거 같다 .,"그런데 사실 나는 강하지도 , 독립적이지도 않다 .",0.35714285714285715,0.029411764705882353
16,요 시 험 할 때 저 는 정 말 무 서 워 요 그 래 서제 생 각 에 이 번 말 하 기 시 험 서,시험 볼 때 저는 정말 무서웠어요 . 제 생각에 이번 말하기 시험은 잘 못본 것 같아요 .,시험 볼 때는 정말 무서워요 . 그래서 이번 말하기 시험이 걱정되요,0.00980392156862745,0.0
17,한국관광공사의 웹사이트에서 유익한 한국여행 정보를 많이 있지만 저한테 한국의 국가문화유산 곳에의 정보는 모자라다 .,한국관광공사의 웹사이트에는 유익한 한국여행 정보가 많이 있지만 한국의 국가문화유산이 있는 곳에 대한 정보는 모자라다 .,"한국관광공사의 웹사이트에는 유익한 한국여행 정보가 많지만 , 제게 필요한 한국의 국가문화유산에 대한 정보는 부족합니다 .",0.25925925925925924,0.12962962962962962
18,아이의 대답은 진지한 생각을 드러내고 있었다 .,아이는 진지하게 대답했다 .,아이의 대답은 진지했다 .,0.045454545454545456,0.18181818181818182
19,"아널드가 긍정적인 사고방식이 있고 목표를 이루기 위해서 정말 열심히 노력하는데 , 내 목표가 바비빌딩과 상관이 없지만 아널드의 그 부분을 볻받았으면 좋겠다 .","아널드의 긍정적인 사고방식과 목표를 향한 끊임없는 노력은 , 비록 내 목표가 바디빌딩이 아니더라도 , 본받았으면 하는 부분이다",아널드는 긍정적인 사고방식으로 목표를 이루기 위해 정말 열심히 노력한다 . 나의 목표와는 상관없지만 아널드의 그런 점을 본받고 싶다 .,0.08536585365853659,0.10975609756097561
20,어린이 전문적으로 많은 사람을 있지만 비싼 전문가를 진료하기 때문에 짧은 시간 내에 끝냈어요 .,"어린이환자는 많은데 , 전문가수는 적어 짧은 시간내에 진료가 끝났다 .","어린이는 많지만 , 비싼 전문가에게 진료받기 때문에 금방 끝났어요 .",0.04,0.06
21,"그러나 그 요망이 이룰수 없는 것이라면 , 또한 그 손님이 개념 없는 사람이라면 어떻게 하면",그러나 그 요망이 들어줄 수 없는 것이고 그 손님이 개념 없는 사람이라면 어떻게 해야 될까 .,그러나 만약 요구가 실현될 수 없다면 또는 그런 손님을 상대하는게 어렵다면,0.43103448275862066,0.018518518518518517
22,물론 기대해야 하지만 그 걸 생각할 때마다 정말 긴장되고 걱정하고 그런 느낌이 들어요 .,"물론 기대하고는 있지만 , 생각할 때 마다 정말 긴장되고 걱정이 돼요 .","기대는 하고 있지만 , 그걸 생각할 때마다 너무 긴장되고 걱정돼요 .",0.12,0.1
23,내가 힘들게 논문제목을 선택햇는 논문에 관한 재료를 찾지 못했다 .,제가 힘들게선택한 논문에 관한 자료를 찾지 못했습니다 .,"논문 제목을 어렵게 선택했지만 , 그에 대한 자료를 찾지 못했다 .",0.14705882352941177,0.15789473684210525
24,한사람을 좋아하는 것이 때로 그와 같이 있어서 좋아합니다 .,누군가를 좋아하는 건 때로 그와 같이 있기를 바라게 되는 것입니다 .,누군가를 좋아한다는 것은 때때로 그 사람과 함께 있는 것만으로도 좋습니다 .,0.21052631578947367,0.02631578947368421
25,ㅋㅋ 알고 보니 중국인들은 어느 절에 치중하길 볼 수 있죠 ~,ㅋㅋ 중국사람들이 어느 절기를 중요하게 여기는지 알 수 있죠 ?,알고보니 중국인들은 어떤 절을 더 중요하게 생각하는 것 같았어요 .,0.13157894736842105,0.02631578947368421
26,매일 만나는 사람들은 다 진심으로 저한테 얘기하는지 모르겠다 .,매일 만나는 사람들이 제게 다 진심으로 대하는지 모르겠어요 .,매일 만나는 사람들 모두가 나에게 진심을 말하는 것 같지 않다 .,0.23333333333333334,0.10526315789473684
27,"한국에 유학한 일본사람들에는 한국의 문화로 익숙할 수 가 없어서 바로 돌아가고싶은 사람 , 한국에 문화가 편해서 한국에서 계속 살고싶어진 사람의 2가지가 있다고 들었습니다 .",한국으로 유학간일본 사람들은 한국의 문화에 익숙해질 수 가 없어서 바로 돌아가고 싶은 사람과 한국에 문화가 너무 편해서 한국에서 계속 살고 싶어진 사람이렇게2가지 종류가 있다고 들었습니다 .,"한국에 유학한 일본사람들 중에는 한국의 문화를 잘 이해하지 못해서 바로 돌아가고 싶어하는 사람과 , 한국의 문화가 너무 편하고 좋아서 한국에서 계속 살고싶어 하는 사람이 있다고 들었습니다 .",0.2653061224489796,0.1568627450980392
28,유이씨는 로봇을 만드는 과제에서 의경이 혼란한 일이 있었는데 차분히 다 의경을 한데 모아서 각자에게 담당할 일을 가리켰다 .,유이씨는 로봇을 만드는 과제에서 의견이 모아지지 않는 일이 있었는데 차분히 모두의 의견을 한데 모으는 역활을 지지했다 .,"유이씨는 로봇을 만드는 과제에서 의경이 혼란해하자 , 침착하게 모두를 모아 각자에게 담당할 일을 알려주었다 .",0.2727272727272727,0.3181818181818182
29,전기모기향 가 종류풍부하게 존재하는 일본에서는 모기가 수면을 방해하기는 용서 못하는 것이다 .,전기모기향 의 종류가 다양 하게 존재하는 일본에서는 모기가 수면을 방해하는 것은 용서 못할 일입니다 .,일본에는 전기모기향이 다양하게 존재한다 . 그래서 모기가 잠을 방해하는 것은 절대 용서하지 못한다 .,0.24074074074074073,0.04
30,물건에 부딪쳐서 두 눈속에는 부분을 안경이때문에 다쳤어요 .,물건에 부딪쳐서 두 눈을 안경에 찔렸어요 .,눈 속의 부분을 물건에 부딪혀서 안경 때문에 다쳤어요 .,0.2692307692307692,0.16666666666666666
31,은 두 종류가 있는데 인것과 기본모델 .,. 은 기본모델과 모델 두 종류가 있어요,인 것과 기본 모델,0.22727272727272727,0.0
32,""" 그 고양이의 소리를 듣게 되지 못하길 바래 "" 하고 생각했지만 , 집에 도착했을때 그 소리를 다시 나왔습니다 !",""" 그 고양이의 소리를 듣지 않게 되길 바라 . "" 하고 생각했지만 , 집에 도착했을 때 그 소리를 다시 듣게 되었습니다 !",""" 그 고양이가 우는 소리를 듣지 않았으면 좋겠다 . "" 고 생각했지만 , 집에 도착하니 또다시 그 소리가 들렸습니다 !",0.3902439024390244,0.17567567567567569
33,"의 도 , 보고 있는 도중의 상태인데도 , 그쪽을 멈출까 , 고민해버린다 .","의 도 , 보고 있는 중인데 , 그만 둘까 ? 라고 고민이됩니다",보는 동안에도 그 장면을 계속 볼까 말까를 고민한다 .,0.32608695652173914,0.021739130434782608
34, 성공하지 않은데 애인을 보호했어요  ., 애인을 보호하는데 성공하진 못했어요  .,"애인이 성공하지 못했는데 , 저는 그를 보호해 주었어요  .",0.14285714285714285,0.06666666666666667
35,여기에는 맛있는 토란과 고구마로 만든 단 음식을 먹으면서 신선한 공기하고 예쁜 풍경이 산하고 바다를 볼 겁니다 .,여기에서는 맛있는 토란과 고구마로 만든 단 음식을 먹으면서 신선한 공기를 맞으며 산과 바다와 같은 예쁜 풍경을 볼 수 있습니다 .,"여기서는 맛있는 토란과 고구마로 만든 단 음식을 먹으며 , 아름다운 경치와 맑은 공기를 만끽할 수 있습니다 .",0.3918918918918919,0.3064516129032258
36,그래 이제 난 일년전에 나 아니야 시간이 흐르면서 나도 많이 변해졌어,"그래 , 이제 나는 일년전의 내가 아니야 . 시간이 흐르면서 나도 많이 변했어 .",이제 나는 일년 전의 내가 아니야 . 시간이 지나면서 나도 많이 변했어,0.26,0.14285714285714285
37,"유민 , 우리 엄마야 , 소백을 아들라고 불러서 날 며느리라고 불러 , 진짜 웃기지 ? 엄마는 말할 때 태연자약해 , 큰 소리로 외칠 때도 항상 있었는데 , 중국의 제일 남북에서 왔는 우리 엄마야 , 거기에 살면 피부가 햇볕에 꺼멓게 그을렸어 ? 좆소 한 머리를 질러 봐 ! 나도 좆소를 기르고 싶었는데 , 사실 , 우유를 생산하면 그 우유로 목욕하고 싶단 말이야 , ㅎㅎ그렇게 하면 피부가 좋아질 거지 ?","유민 , 우리 엄마야 , 소백을 아들라고 불러서 날 며느리라고 불러 , 진짜 웃기지 ? 엄마는 말할 때 태연자약해 , 큰 소리로 외칠 때도 항상 있었는데 , 중국의 제일 남북에서 우리 엄마야 , 거기에 살면 피부가 햇볕에 꺼멓게 ? 한 머리를 질러 봐 ! 나도 좆소를 기르고 싶었는데 , 사실 , 우유를 생산하면 그 우유로 목욕하고 싶단 말이야 , ㅎㅎ그렇게 하면 피부가 좋아질 거지 ?","유민은 우리 엄마야 . 소백을 아들이라고 부르고 나를 며느리라고 불러 . 정말 웃기지 ? 엄마는 말할 때 태연자약해 . 큰소리로 외칠 때도 항상 있었는데 , 중국의 제일 남북에서 온 우리 엄마야 . 거기에 살면 피부가 햇볕에 까맣게 그을렸을까 ? 좆소 한 머리를 질러 봐 ! 나도 좆소를 기르고 싶었는데 , 사실 , 우유를 생산하면 그 우유로 목욕하고 싶단 말이야 , ᄒᄒ그렇게 하면 피부가 좋아질 거잖아 ?",0.8984962406015038,0.575187969924812
38,"어린이들은 , 학교에 언제나대로에 갔으므로 좋았습니다 .","어린이들은 , 평소처럼 학교에 가서 좋았습니다 .",어린이들은 평소처럼 학교에 가서 좋았습니다 .,0.3181818181818182,0.22727272727272727
39,왜냐하면 미국인 가수가 머리가 염새하며 이상한 옷을 입을 때 관찮고 시민은 새 스타일을 아마도 채태하지 몰라요 .,왜냐하면 미국에서는 가수가 머리를 염색하고 이상한 옷을 입었을 때 괜찮다고 생각하면 일반 사람들은 그 스타일을 선택할 수 도 있어요 .,"왜냐하면 미국의 가수들이 머리를 염색하고 이상한 옷을 입어도 괜찮다고 생각하는 사람이 많고 , 새로운 스타일을 선택할 수 있는 기회는 거의 없기 때문이에요 .",0.10810810810810811,0.06976744186046512
40,피리핀에서는 영어가 모국어 아닌 것을 알아요 .,필리핀 모국어는 영어가 아니에요 .,필리핀 사람들은 영어를 제2언어로 사용한다는 것을 알고 있어요 .,0.09090909090909091,0.06666666666666667
41,그것은 돌보겠니까 단지 행복 경우에만 행복할 수있다,"돌봐줘 , 그건 네가 행복해야 행복해질 수 있으니까 .",행복하기 위해서는 그저 돌봐주기만 하면 된다 .,0.0,0.0
42,"앞쪽 , 뒤쪽 , 왼쪽 , 오른쪽 밖에 갈 수 없었습니다 .","상하 , 좌우로 밖에 갈 수 없었습니다 .","앞 , 뒤 , 왼쪽 , 오른쪽만 갈 수 있었습니다 .",0.35714285714285715,0.2619047619047619
43, 2평균점이 리그에 3위지만 밀와키한테 그 숫자를 이루기가 어렵겠다  ., 2점이 리그 3위지만 밀와키를 상대로는 높은 득점하기는 어렵겠다  .,"2. 평균득점에서 리그 3위이지만 , 밀워키에게 그 숫자를 이루기는 힘들 것이다  .",0.13333333333333333,0.08695652173913043
44,내가 남지연선수 더 사진을 찍고 싶다라고 해서 김연경선수는 버스에 가서 지연선수를 불러주셨어ㅋㅋㅋ,"내가 남지연 선수와 "" 사진을 더 찍고 싶다 "" 라고 하니까 , 김연경 선수가 버스에 가서 지연 선수를 불러주셨어ㅋㅋㅋ",내가 남지연선수와 함께 사진을 찍고 싶다고 했더니 김연경선수가 버스에 가서 남지연선수를 불러줬어요 .,0.11428571428571428,0.15217391304347827
45,나도 이렇게 생각하는데 지금 미국의 많은 문제들은 보통 반대 정치 당의 차이로 일으킨 문제 야 .,"나도 그렇게 생각하는데 , 지금 미국의 많은 문제들은 보통 상대편 정당과의 의견 차이로 일어났어 .",나는 그렇게 생각해 . 그런데 지금 미국의 많은 문제들은 보통 다른 정당들간의 의견차이 때문에 일어난 문제야 .,0.3103448275862069,0.24193548387096775
46,오늘 수업 끝난 후에 친구랑 같이 많이 먹고 마시는 것이 롯데 이마트에 가러 샀다  .,오늘 수업 끝난 후에 친구랑 같이 식료품을 사러 롯데 이마트에 갔다  .,오늘 수업 끝나고 친구와 함께 롯데마트에서 장을 봤다  .,0.4074074074074074,0.07407407407407407
47,제가 후회하는 것은 왜 지난주 문안하러 안갔냐는 것입니다 .,후회되는 건 지난주에 왜 병문안을안갔나 하는 것입니다 .,지난주에 부모님께 문안드리지 않은 것을 후회하고 있습니다 .,0.13333333333333333,0.03333333333333333
48,월금이 많할 일이 별로 없고 일하면서 숙제 할 수 있고 혼자 일해요 .,급여가 많고 할일은 별로 없고 일하면서 숙제도 할 수 있고 혼자서 일해서 편해 .,"월급이 많지 않아서 , 일하면서도 공부를 할 수 있어요 .",0.26,0.08695652173913043
49,여러분도 천사를 전에 만났어요 ?,이런 경험해보신적 있나요 ?,여러분은 천사를 만난 적이 있나요 ?,0.07142857142857142,0.1111111111111111
50,다른 한국사람 만나고 싶은 이유는 한국말을 연습하며 한국사회를 공부도 될 듯이고 한국여자랑 데이트하고 싶다 .,다른 한국사람을 만나고 싶은 이유는 한국말을 연습하고 한국사회를 공부하는데 도움이 될 듯하고 한국여자랑 데이트도 하고 싶기 때문이다 .,"한국 사람을 만나고 싶은 이유는 한국말을 연습할 수 있고 , 한국 사회에 대해서도 알 수 있을 것 같기 때문이다 . 그리고 한국 여자와 데이트 하고 싶다 .",0.22727272727272727,0.12745098039215685
51,매날 중국어로 얘기하면 한국어를 잘 할 수 있는 리가 어디에 찾을 수 있어요 ?,맨날 중국어로 얘기하니까 한국어를 잘 할 리가 있겠어요 ?,매일 중국어로만 말하면 한국어를 잘할리가 없잖아요,0.18,0.02
52,이 역사적음 임무는 더욱 더 역사적이 되는 걸 생각 좀 해 봐 .,이 역사적인 임무가 더욱 더 역사적이 될 수 있다는 걸 .,역사적인 임무가 점점 더 역사적이 되어가는 것을 생각해봐요 .,0.1956521739130435,0.08695652173913043
53,이건 신보다 주셨지 인생 인가요 .,이거야말로 신이 인생이겠지요,인생은 신의 선물인 것 같아요 .,0.0,0.05555555555555555
54,우리가 욕지거리할 때 언니는 우릴 안 처벌해요 .,우리가 욕할 때에도 언니가 못 본 척해줘요 .,언니는 우리가 욕을 해도 혼내지 않아요 .,0.07692307692307693,0.11538461538461539
55,기타의 역이 련락 할 수 있는데 잃은 물건이 이는 아니는 물어요 .,"다른 역에 연락하여 , 잃어버린 물건이 있는지 문의합니다 .",다른 역에 연락해서 잃어버린 물건이 있는지 물어봐 주세요 .,0.047619047619047616,0.047619047619047616
56,그래서 아마 시간대 뒤에 하루에 사용할 수 있어요 .,그래서 아마 그들은 내 시간대보다 앞서 있을거야,그래서 아마도 그 다음날 쓸 수 있을 거에요 .,0.1,0.1
57,시계를 선물하면 죽음을 상징하는 뜻을 가지기 때문에 실례 행동이다 .,시계는 죽음을 상징하기 때문에 실례 시계를 선물하는 것은 실례되는 행동이다 .,"시계는 죽은 사람에게 주는 것과 같기 때문에 , 시계를 선물하는 것은 예의에 어긋나는 행동이다 .",0.21052631578947367,0.09259259259259259
58,한국어를 공부하고 생각했기 때문에 두꺼운 사전을 겨드랑에 끼고,한국어를 공부하고 있다는 것을 보여주기 위해 두꺼운 사전을 겨드랑이에 끼고,한국어를 공부할 때는 두꺼운 사전을 겨드랑이에 끼고,0.20588235294117646,0.19230769230769232
59,하지만 왠지 사람이 항상 좋은 일보다 나쁜 일이 더욱 인상적이다고 정말 궁금하다 .,하지만 사람은 항상 좋은일보다 나쁜일을 잘 기억 한다 . 왜그런지 정말 궁금하다,하지만 왜 그런지 모르겠다 .,0.13043478260869565,0.043478260869565216
60,때때로 늦게 잠으니까 깊은 잠은 안 자고 잠이 모자라요 .,가끔 너무 늦게 자서 깊은 잠을 자지 못해 잠이 모자랄때가 있어요,가끔 늦게 자기 때문에 깊은 잠을 못자요 .,0.07894736842105263,0.08823529411764706
61,밴드에게 유명한 가수처럼 시선이 집중되는 것이 아니었는데 사인을 받고 싶은 팬은 사인을 받을 수 있었다 .,"유명한 가수처럼 이 밴드에게 시선이 집중되는 것은 아니었는데 , 사인을 받고 싶은 팬은 사인을 받을 수 있었다 .","유명한 가수가 아니라서 밴드에 대한 관심이 많지 않았지만 , 사인을 받으려는 팬들은 사인을 받을 수 있었다 .",0.5757575757575758,0.25806451612903225
62,그리고 저도 열심히 영어를 공부하면 2년후에 제 영어 수준도 지금 한국어 수준처럼 할 수 있었으면 좋겠네요 .,열심히 영어를 공부해서 2년 후에 제 영어 수준도 지금의 제 한국어 수준이 되었으면 좋겠네요 .,그리고 저도 열심히 영어공부를 해서 2년 후에는 지금의 한국어 실력만큼 영어실력이 향상되었으면 좋겠어요 .,0.20967741935483872,0.12903225806451613
63,내 마음을 슬프게 할 만큼 놀랐다 .,너무 놀라서 마음이 슬펐다 .,나는 내 마음이 아플 정도로 놀랐다 .,0.045454545454545456,0.18181818181818182
64,음식을 끓을 때 실수로 솥밖에 넘어 부뚜막을 더럽히하면 걸레를 뜨거운 물에 담그 비틀어 말리면 부뚜막위에 있는 더러운 것을 덮고 조금후에 그것은 연해져고 더오를 것이다 .,음식을 끓을 때 실수로 솥밖에 넘쳐 부뚜막을 더럽히는데 걸레를 뜨거운 물에 담궜다가 비틀어 말려서 부뚜막위에 있는 더러운 것을 잠시 덮어두면 조금후에 그것은 연해져고 더 불어날 것이다 .,"음식을 끓일 때 실수로 솥 밖에 넘치면 , 걸레를 뜨거운 물에 담갔다가 비틀어 짜서 부뚜막 위의 더러운 것을 덮으면 , 조금 후에 그것은 연해져서 다시 올라온다 .",0.4019607843137255,0.1568627450980392
65,"나완 소리들이 난폭해고 떠는지만 , 상쾌해요 .",그곳에서야생의 소리가 들리지만상쾌해요 .,"나는 시끄러운 소리들에 깜짝깜짝 놀라기도 하지만 , 기분은 좋아요 .",0.045454545454545456,0.058823529411764705
66,"지금 사철이 있는 일분에 살고 있고 , 리우에 살고 있을 때 할 수 없는 것을 많이 경험할 수 있고 , 많이 체험할 수 있는데 , 역시 해안에 가는 것 , 그리고 여름이라는 계절이 제에게 아주 중요한 것이에요 .","지금 사찰 이 있는 일본에 살고 있고 , 리우에 살고 있을 때 할 수 없는 것을 많이 경험하고 체험 할 수 있는데 , 역시 해안에 가는 것과 여름이라는 계절이 저에게는 제일 중요한 것이에요 .","지금은 사계절이 있는 곳에서 살고 있기 때문에 , 리우에 살았을 때는 할 수 없었던 많은 것들을 경험하고 , 또 체험할 수 있어요 . 하지만 역시 해변에 가는 것과 여름이라는 계절이 저에게는 아주 중요해요 .",0.4863013698630137,0.13013698630136986
67,집이 깨끗하게 되고 마음도 후련하게 됩니다 .,윗분이 정확하게 . 바꿔주셨네요 .,집을 청소하면 기분까지 상쾌해집니다 .,0.045454545454545456,0.045454545454545456
68, 근데 내가 새로운 도시에 혼자 살고 있기 때문에 휴일이라면 무슨 일을 할 수 있은지 모르겠어요  ., 근데 내가 새로운 도시에 혼자 살고 있기 때문에 휴일에 뭘해야 할지 모르겠어요  .,"근데 제가 지금 새로 이사한 곳에서 혼자 살고 있어서 , 휴일에는 무엇을 해야 할지 모르겠어요  .",0.5,0.1206896551724138
69,"여기에서 , 로스 앤젤레스가 3 - 7시 오전에 행사있어요 .",여기 로스 앤젤레스에선 오전 3 - 7시 에 행사가 있어요 .,로스앤젤레스는 오후 3시부터 7시까지 입니다 .,0.21052631578947367,0.029411764705882353
70,네 번째날이 먹요일의 십일월이 추수감사절를 있어요 .,추수감사절은 십일월의 네 번째 목요일 입니다 .,십일월은 목요일이에요 .,0.09090909090909091,0.045454545454545456
71,어제 - 8에서 출판한 블로그에 여러분에게 어떤 주제가 다음번에 얘기할라고 물어봤잖아요 .,어제 - 8에서 여러분에게 어떤 주제를 다음에 얘기할까 ? 물어봤잖아요 .,"어제 제가 올린 블로그 글을 보고 , 댓글로 다음번에는 어떤 주제를 다룰지 물어보셨잖아요 .",0.2857142857142857,0.06
72,대학 때 많이 한국친국을 사귀가 때문에 한국어하고 문화를 배무기가 시작했어요 .,대학교 때 많은 한국인 친구를 사귀고부터 한국어와 한국 문화를 배우기 시작했어요 .,대학교 때 친구들과 자주 만나서 한국어와 문화를 배우기 시작했어요 .,0.11904761904761904,0.13157894736842105
73,"이렇게 꼭 보야돼지만 날씨 당시 넘 주워니까 , 저는 별로 가고 싶지안아요 !","이건 꼭 봐야 되긴 하지만 날씨가 너무 추워서 , 저는 별로 가고 싶지 않아요 !",하지만 이렇게 비가 오는데 제가 거기에 갈 수 있을까요 ?,0.2222222222222222,0.021739130434782608
74,당신은 활수해서 정말 감사합니다 .,여러분의 관대함에 감사드립니다 .,활발하게 활동해 주셔서 정말 감사합니다 .,0.07142857142857142,0.3333333333333333
75,저는 매일 하는 은도에 일종 아마 9시간에 결었어요 .,저는 매일 운동하는데 약 9시간 정도 걸었어요 .,"매일하는 공부를 하는데 , 아마도 9시간정도 걸렸어요 .",0.13333333333333333,0.03333333333333333
76,"어휴 ~ 밤늦게 라면 먹으면 라면 특성이라고 아침에 얼굴이 방방 부을지도 모르는데 , ㅡㅡㅎ","어휴 ~ 밤늦게 라면 먹으면 아침에 얼굴이 퉁퉁 부을지도 모르는데 , ㅡㅡㅎ",에휴 ~ 밤 늦게 라면 먹으면 라면 특성상 아침에 얼굴이 퉁퉁 붓게 될지도 모르는데 .,0.54,0.2037037037037037
77,중년남을 포획할 수 없었지만 자신에게 용기가 있었던 것에 충족했다 .,그 중년남자를 잡을 수는 없었지만 나 자신에게 용기가 있었던 것에 만족 했다 .,"중년남성을 잡을 수는 없었지만 , 나에게는 용기가 있었다 .",0.2608695652173913,0.08823529411764706
78,"거기에서 어떤 글자의 모양이나 뜻이 , 발음이 비슷한 표현들에 대해서 그 표현들을 정확하게 사용하는 경우를 설명해 줘요 .",그 사이트에서는 글자의 모양이나 뜻 그리고 발음이 비슷한 단어와 또 그 표현들을 정확하게 사용하는 경우를 설명해 줘요 .,"거기서 어떤 글자의 모양이나 뜻이 , 발음이 비슷한 표현들에 대해서 그 표현들을 정확하게 사용하는 경우를 설명해 줘요 .",0.48484848484848486,0.9393939393939394
79,그리고 언제 할 수 있을지 몰라도 공부하거나 일을 하거나 그냥 소중한 친구를 보러 멜라니는 한국에 곧 돌아가기를 바란다 .,"그리고 , 언제가 될지 모르지만 공부나 일로 소중한 친구들을 보러 한국에 곧 돌아가기를 바란다","그리고 언젠가는 다시 만날 수 있기를 바라며 , 그녀는 열심히 공부하고 일하며 자신의 소중한 친구들을 만나러 한국으로 돌아갈 날을 손꼽아 기다리고 있다 .",0.18571428571428572,0.046511627906976744
80,왜야하면 저는 학교에서 아직 있었을 때 할아버지가 아직 나 옆에 계시기 때문에 그땐 할아버지가 저에게 휴대폰을 사는데요 .,왜냐하면 제가 학교에 다닐 때는 할아버지께서 내 곁에 계셨기 때문에 할아버지께서 저에게 휴대폰을 사주셨어요 .,왜냐하면 제가 학교에 있을 때 할아버지께서 아직도 곁에 계셨기 때문이에요 . 그때 할아버지는 저에게 휴대폰을 사주셨어요 .,0.07575757575757576,0.07575757575757576
81,아주 귀찮기 때문에 숙게를 완전히 안 하고싶어 .,"아주 귀찮아서 , 숙제를 정말 하기 싫어요 .",귀찮아서 숙제를 하기 싫어요 .,0.07692307692307693,0.038461538461538464
